id,left,top,right,bottom,row_index,col_index,상가수,역명,역 거리,대로변,대로변 거리,일수_sum,상가밀도점수,팝업 점수,역 점수,대로변 점수,최종지수
1089,957983.4377,1950051.879,958081.4377,1949951.879,28,20,29,신금호역,778.6362627,11000UQ151PS201912162046,723.3950411,0,0.157,0,0.555,0.631,0.419
1131,958081.4377,1951151.879,958179.4377,1951051.879,17,21,0,행당역,332.7467158,11000UQ151PS201912153890,58.83876417,0,0,0,0.81,0.97,0.534
1132,958081.4377,1951051.879,958179.4377,1950951.879,18,21,0,행당역,314.999197,11000UQ151PS201912162046,293.0085504,0,0,0,0.82,0.851,0.501
1133,958081.4377,1950951.879,958179.4377,1950851.879,19,21,0,행당역,328.2434504,11000UQ151PS201912162046,201.1046534,0,0,0,0.813,0.898,0.513
1134,958081.4377,1950851.879,958179.4377,1950751.879,20,21,0,행당역,369.1587501,11000UQ151PS201912162046,122.6674183,0,0,0,0.789,0.937,0.518
1135,958081.4377,1950751.879,958179.4377,1950651.879,21,21,23,행당역,429.9159849,11000UQ151PS201912159551,252.9389616,0,0.124,0,0.755,0.871,0.537
1136,958081.4377,1950651.879,958179.4377,1950551.879,22,21,0,신금호역,489.5586135,11000UQ151PS201912162046,155.8882679,0,0,0,0.721,0.921,0.493
1137,958081.4377,1950551.879,958179.4377,1950451.879,23,21,0,신금호역,514.7155438,11000UQ151PS201912162046,242.7978474,0,0,0,0.706,0.876,0.475
1138,958081.4377,1950451.879,958179.4377,1950351.879,24,21,19,신금호역,556.9664988,11000UQ151PS201912162046,337.0691031,0,0.103,0,0.682,0.828,0.494
1139,958081.4377,1950351.879,958179.4377,1950251.879,25,21,20,신금호역,612.7857746,11000UQ151PS201912162046,433.930304,0,0.108,0,0.65,0.779,0.472
1140,958081.4377,1950251.879,958179.4377,1950151.879,26,21,16,신금호역,678.8344902,11000UQ151PS201912162046,531.9685894,0,0.086,0,0.612,0.729,0.437
1141,958081.4377,1950151.879,958179.4377,1950051.879,27,21,21,신금호역,752.4235904,11000UQ151PS201912162046,630.6352308,0,0.114,0,0.57,0.679,0.42
1142,958081.4377,1950051.879,958179.4377,1949951.879,28,21,23,응봉역,768.760083,11000UQ151PS201912162046,729.6753741,0,0.124,0,0.561,0.628,0.406
1184,958179.4377,1951151.879,958277.4377,1951051.879,17,22,62,행당역,242.0447445,11000UQ151PS201912158218,146.0065895,0,0.335,0,0.862,0.926,0.67
1185,958179.4377,1951051.879,958277.4377,1950951.879,18,22,0,행당역,217.0017844,11000UQ151PS201912157066,126.0771058,0,0,0,0.876,0.936,0.544
1186,958179.4377,1950951.879,958277.4377,1950851.879,19,22,6,행당역,235.8156991,11000UQ151PS201912159551,178.4505092,0,0.032,0,0.865,0.909,0.545
1187,958179.4377,1950851.879,958277.4377,1950751.879,20,22,0,행당역,290.0749331,11000UQ151PS201912159551,139.5292745,0,0,0,0.834,0.929,0.529
1188,958179.4377,1950751.879,958277.4377,1950651.879,21,22,57,행당역,364.270563,11000UQ151PS201912159551,164.6432642,0,0.308,0,0.792,0.916,0.636
1189,958179.4377,1950651.879,958277.4377,1950551.879,22,22,0,행당역,448.6176242,11000UQ151PS201912159551,234.0118421,0,0,0,0.744,0.881,0.487
1190,958179.4377,1950551.879,958277.4377,1950451.879,23,22,0,행당역,538.3657268,11000UQ151PS201912159364,358.3685243,0,0,0,0.693,0.817,0.453
1191,958179.4377,1950451.879,958277.4377,1950351.879,24,22,0,행당역,631.2152503,11200UQ151PS202311020001,273.653236,0,0,0,0.64,0.861,0.45
1192,958179.4377,1950351.879,958277.4377,1950251.879,25,22,0,응봉역,665.2997192,11200UQ151PS202311020001,203.3698651,0,0,0,0.62,0.896,0.455
1193,958179.4377,1950251.879,958277.4377,1950151.879,26,22,6,응봉역,652.8716038,11200UQ151PS202311020001,166.8761695,0,0.032,0,0.627,0.915,0.475
1194,958179.4377,1950151.879,958277.4377,1950051.879,27,22,1,응봉역,655.6478536,11200UQ151PS202311020001,185.3406469,0,0.005,0,0.626,0.906,0.462
1195,958179.4377,1950051.879,958277.4377,1949951.879,28,22,3,응봉역,673.4404555,11200UQ151PS202311020001,246.7180584,0,0.016,0,0.616,0.874,0.453
1237,958277.4377,1951151.879,958375.4377,1951051.879,17,23,0,행당역,160.2294747,11000UQ151PS201912156255,119.2374712,0,0,0,0.909,0.939,0.554
1238,958277.4377,1951051.879,958375.4377,1950951.879,18,23,11,행당역,119.0697253,11000UQ151PS201912157066,86.13188435,0,0.059,0,0.932,0.956,0.59
1239,958277.4377,1950951.879,958375.4377,1950851.879,19,23,0,행당역,150.6548036,11000UQ151PS201912159551,119.1487186,0,0,0,0.914,0.939,0.556
1240,958277.4377,1950851.879,958375.4377,1950751.879,20,23,0,행당역,226.3433135,11000UQ151PS201912159551,42.66438921,0,0,0,0.871,0.978,0.555
1241,958277.4377,1950751.879,958375.4377,1950651.879,21,23,0,행당역,315.8811117,11000UQ151PS201912159551,97.2586082,0,0,0,0.82,0.95,0.531
1242,958277.4377,1950651.879,958375.4377,1950551.879,22,23,0,행당역,410.2994191,11000UQ151PS201912159551,192.6483258,0,0,0,0.766,0.902,0.5
1243,958277.4377,1950551.879,958375.4377,1950451.879,23,23,0,행당역,506.8781957,11000UQ151PS201912159364,413.0117456,0,0,0,0.711,0.79,0.45
1244,958277.4377,1950451.879,958375.4377,1950351.879,24,23,0,응봉역,600.6444744,11200UQ151PS202311020001,342.106403,0,0,0,0.657,0.826,0.445
1245,958277.4377,1950351.879,958375.4377,1950251.879,25,23,0,응봉역,569.5403702,11200UQ151PS202311020001,288.9809614,0,0,0,0.675,0.853,0.458
1246,958277.4377,1950251.879,958375.4377,1950151.879,26,23,0,응봉역,554.9719329,11200UQ151PS202311020001,264.5720103,0,0,0,0.683,0.865,0.464
1247,958277.4377,1950151.879,958375.4377,1950051.879,27,23,0,응봉역,558.2352762,11200UQ151PS202311020001,276.5896758,0,0,0,0.681,0.859,0.462
1248,958277.4377,1950051.879,958375.4377,1949951.879,28,23,0,응봉역,579.0289848,11200UQ151PS202311020001,320.9680613,0,0,0,0.669,0.836,0.452
1290,958375.4377,1951151.879,958473.4377,1951051.879,17,24,0,행당역,109.4708241,11000UQ151PS201912156255,38.92594145,0,0,0,0.938,0.98,0.575
1291,958375.4377,1951051.879,958473.4377,1950951.879,18,24,4,행당역,22.09015867,11000UQ151PS201912157066,134.7758116,0,0.022,0,0.987,0.931,0.584
1292,958375.4377,1950951.879,958473.4377,1950851.879,19,24,11,행당역,94.90651354,11000UQ151PS201912159551,125.5818543,0,0.059,0,0.946,0.936,0.588
1293,958375.4377,1950851.879,958473.4377,1950751.879,20,24,0,행당역,193.7567416,11000UQ151PS201912159551,58.26348646,0,0,0,0.889,0.97,0.558
1294,958375.4377,1950751.879,958473.4377,1950651.879,21,24,0,행당역,293.4131233,11000UQ151PS201912159551,105.0410462,0,0,0,0.832,0.946,0.533
