"기준_년분기_코드","행정동_코드","행정동_코드_명","월_평균_소득_금액","소득_구간_코드","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","교육_지출_총금액","유흥_지출_총금액","여가_문화_지출_총금액","기타_지출_총금액","음식_지출_총금액"
"20201","11710561","방이1동","3970520","08","4564240000","379765000","46424000","6084000","372769000","841819000","1381004000","120780000","119354000","136983000","1159258000"
"20201","11710550","마천2동","2339431","05","3268006000","1278879000","113602000","66227000","706659000","105544000","86573000","90686000","220974000","79685000","519177000"
"20201","11710540","마천1동","2435636","05","1436292000","592003000","32099000","26065000","415403000","14533000","37183000","36546000","34986000","12908000","234566000"
"20201","11710532","거여2동","3033238","07","2393965000","767338000","22259000","79540000","468158000","47556000","59056000","68908000","208476000","72863000","599811000"
"20201","11710531","거여1동","2789100","06","1701619000","550026000","16456000","18324000","247952000","108598000","106663000","104337000","82752000","94516000","371995000"
"20201","11710520","풍납2동","3891704","08","4362579000","1008434000","13095000","21824000","2091525000","79511000","106169000","52118000","287002000","55275000","647626000"
"20201","11710510","풍납1동","3011150","07","1018664000","373938000","13554000","4926000","280710000","9006000","19543000","30382000","40972000","29047000","216586000"
"20201","11680750","수서동","3847379","08","45944215000","545604000","45422000","65162000","1633375000","12264274000","110609000","56959000","30116066000","151693000","955051000"
"20201","11680740","일원2동","4553185","08","1477790000","741100000","9847000","5029000","173946000","158812000","65240000","7741000","84642000","35680000","195753000"
"20201","11680730","일원1동","3022931","07","1795204000","400384000","24715000","37690000","284830000","126252000","35094000","100253000","138288000","33302000","614396000"
"20201","11680720","일원본동","5444886","09","2573780000","433791000","12649000","12671000","1331748000","2498000","136198000","1556000","113610000","66945000","462114000"
"20201","11680700","세곡동","3885403","08","4712679000","1356907000","43506000","42525000","498616000","689089000","559818000","40111000","267600000","184877000","1029630000"
"20201","11680690","개포4동","3550527","07","3036353000","826060000","51969000","254228000","476859000","130654000","136274000","47427000","157587000","312351000","642944000"
"20201","11680670","개포2동","5195802","09","1834202000","832228000","16546000","3612000","186633000","14596000","160081000","54185000","110679000","82342000","373300000"
"20201","11680660","개포1동","5336373","09","182527000","84058000","8442000","3579000","18382000","1718000","12725000","0","37860000","8507000","7256000"
"20201","11680656","도곡2동","6567504","09","33442615000","1709665000","271954000","225728000","499051000","276920000","205680000","114386000","27976143000","423488000","1739600000"
"20201","11680655","도곡1동","5412484","09","20042405000","900777000","53984000","203523000","8277879000","2109515000","259773000","35524000","6688592000","227626000","1285212000"
"20201","11680650","역삼2동","5367397","09","528369463000","1715965000","133525000","295907000","2785100000","583126000","518642000","271411000","41628532000","477170273000","3266982000"
"20201","11680640","역삼1동","3607265","07","917407112000","6753794000","2449916000","1543128000","30545780000","500045000","3312844000","3178167000","733724303000","117700131000","17699004000"
"20201","11680630","대치4동","4101144","08","44250807000","1643597000","680564000","294622000","2005460000","440716000","4684746000","743425000","747615000","28934645000","4075417000"
"20201","11680610","대치2동","6017362","09","33673862000","1880723000","869989000","603781000","4584909000","7218395000","3753466000","214480000","11162480000","596951000","2788688000"
"20201","11680600","대치1동","7421305","10","9030569000","1528101000","6637000","21837000","1469706000","12059000","4202896000","70171000","299543000","389932000","1029687000"
"20201","11680590","삼성2동","5055114","09","11061756000","2606019000","386841000","152643000","1821299000","304612000","1143440000","664109000","697945000","974255000","2310593000"
"20201","11680580","삼성1동","5098096","09","155614249000","1616349000","5082261000","11311278000","4723868000","519453000","295529000","400421000","123346498000","3976342000","4342250000"
"20201","11680565","청담동","5010204","09","28357676000","2788362000","3508337000","753870000","7434287000","935922000","397778000","1258821000","1640128000","4317416000","5322755000"
"20201","11680545","압구정동","5808537","09","40708501000","1956505000","2214914000","629371000","12796822000","650277000","1321928000","1206812000","12099104000","1972083000","5860685000"
"20201","11680531","논현2동","3973993","08","21383078000","1750022000","1201278000","602378000","5870254000","714238000","509651000","1422891000","2345220000","2269264000","4697882000"
"20201","11680521","논현1동","3277066","07","38160230000","2452461000","384789000","2094077000","15184022000","204720000","1561307000","1744987000","8197187000","1328218000","5008462000"
"20201","11680510","신사동","5099915","09","32803237000","1709657000","1606213000","157549000","13439522000","950562000","722492000","930896000","6462708000","1357876000","5465762000"
"20201","11650660","내곡동","4047063","08","1999641000","414653000","17349000","37819000","316671000","351917000","123012000","6410000","145491000","55584000","530735000"
"20201","11650652","양재2동","3222382","07","7028760000","1922863000","115957000","115877000","675068000","594289000","210334000","209084000","631195000","125946000","2428147000"
"20201","11650651","양재1동","4173236","08","9007293000","1667492000","191069000","86890000","1768444000","658267000","791778000","225584000","574557000","629674000","2413538000"
"20201","11650621","방배4동","4557937","08","4669538000","706634000","105262000","66166000","1318420000","115333000","410989000","81852000","361449000","382026000","1121407000"
"20201","11650620","방배3동","4681587","08","3716533000","628778000","22263000","25689000","2079855000","284307000","99291000","7837000","64496000","47956000","456061000"
"20201","11650610","방배2동","3864301","08","97215640000","828221000","29003000","61893000","361742000","220491000","420512000","327569000","91959304000","172909000","2833996000"
"20201","11650600","방배1동","4069239","08","5660759000","1868537000","55318000","117939000","858524000","210254000","246332000","163643000","320951000","437269000","1381992000"
"20201","11650590","방배본동","4856162","08","12293879000","831447000","104668000","239225000","815945000","502564000","289175000","96560000","263040000","7998147000","1153108000"
"20201","11650581","반포4동","5280483","09","20900618000","1853660000","1055190000","145309000","9055387000","306583000","1375200000","176363000","1640127000","1337742000","3955057000"
"20201","11650580","반포3동","6140775","09","3667158000","249971000","273555000","108952000","556665000","40872000","716845000","19482000","372447000","94595000","1233774000"
"20201","11650570","반포2동","6812331","09","1189220000","402013000","7028000","0","112832000","2793000","237148000","0","34617000","146387000","246402000"
"20201","11650560","반포1동","5338302","09","8544301000","1064337000","56874000","90195000","3661284000","961825000","304185000","135125000","784827000","274410000","1211239000"
"20201","11650550","반포본동","5583021","09","1494580000","360632000","54772000","5785000","93201000","3733000","588804000","15558000","59202000","26382000","286511000"
"20201","11650540","잠원동","5458458","09","7615889000","793107000","43779000","86757000","3494484000","314142000","453727000","295269000","326577000","256436000","1551611000"
"20201","11650531","서초4동","6475383","09","33710923000","1692361000","689509000","139326000","17586018000","146698000","1920197000","3018471000","1353469000","1595261000","5569613000"
"20201","11650530","서초3동","4678950","08","16479240000","1913184000","167425000","204954000","4494533000","785215000","804342000","644926000","1151393000","607871000","5705397000"
"20201","11650520","서초2동","5196131","09","161436469000","1660435000","56870000","637493000","4313071000","98224000","1213074000","305795000","1585430000","148627700000","2938377000"
"20201","11650510","서초1동","4769119","08","8178159000","1376089000","347356000","175585000","1892006000","359559000","749385000","208528000","711189000","315462000","2043000000"
"20201","11620775","난곡동","2268676","05","2365451000","1180440000","15884000","25981000","399110000","59389000","93584000","38913000","100970000","87228000","363952000"
"20201","11620765","미성동","2676537","06","3395418000","871404000","213031000","48074000","671412000","171703000","176543000","187561000","191797000","83046000","780847000"
"20201","11620745","삼성동","2593695","06","1591879000","1117616000","40455000","12924000","114149000","7184000","45834000","19970000","64715000","31093000","137939000"
"20201","11620735","대학동","2622408","06","6642213000","2759201000","17288000","31268000","688238000","11277000","286278000","320856000","404180000","285004000","1838623000"
"20201","11620725","조원동","2523192","06","4206957000","837115000","30084000","153038000","532213000","45519000","52275000","453708000","340137000","349255000","1413613000"
"20201","11620715","난향동","3262195","07","658671000","365150000","8864000","1336000","39768000","0","53105000","15598000","40926000","12968000","120956000"
"20201","11620695","신림동","2434279","05","8185203000","1880931000","170297000","103859000","1381214000","39685000","55447000","754879000","750688000","519783000","2528420000"
"20201","11620685","신사동","2430662","05","2922208000","1157667000","37342000","67266000","455317000","94118000","99306000","166174000","145422000","84647000","614949000"
"20201","11620665","서림동","2530625","06","2132400000","609285000","18185000","15467000","66759000","343330000","358135000","40475000","164410000","28399000","487955000"
